CD,Cluster,Party,Very low density,Low density,Medium density,High density,Incumbent,Clinton16,Trump16,Obama12,Romney12,Obama08,McCain08,cong_R16,cong_D16,cong_Other16,PVI,cook_rating,cook_score,is_competitive_cook,D538,is_competitive538,Pure rural,Rural-suburban,Low-density suburban,High-density suburban,Urban-suburban,Pure urban
AR-03,Rural-suburban,R,0.3618642075671107,0.43357311066494486,0.20456268176794445,0,"Womack, Steve",0.305,0.619,0.316,0.655,0.33899999999999997,0.637,0.773181159600864,0,0.226818840399136,19,Solid R,3,0,0.0013,0,0.05823346177013705,0.8609321180425622,0.051085590506042486,0.016007246146289074,0.009585605224990893,0.00415597830997829
AR-04,Pure rural,R,0.6906574832648922,0.2624830076637977,0.04685950907131009,0,"Westerman, Bruce",0.313,0.642,0.359,0.618,0.374,0.599,0.74904058420947,0,0.25095941579053,17,Solid R,3,0,6e-4,0,0.8408711224825302,0.08652355624617686,0.028043161545736783,0.01898950543039515,0.01596142329728093,0.00961123099788013
AZ-01,Pure rural,D,0.5529004309335186,0.3168210456017655,0.1302785234647159,0,"O'Halleran, Tom",0.466,0.47700000000000004,0.479,0.504,0.478,0.51,0.433703822450216,0.506640304941042,0.0596558726087421,2,Likely D,-2,1,0.9784,0,0.9308244312777341,0.04931129283032785,0.009006283283269542,0.005110047458481247,0.003793260248900485,0.0019546849012867596
AZ-02,High-density suburban,R,0.17087114637589934,0.22330445906041343,0.4089308034532704,0.19689359111041677,"McSally, Martha",0.496,0.447,0.484,0.499,0.489,0.498,0.569584926460107,0.430415073539893,0,1,Lean D,-1,0,0.9525,1,0.043356727085560896,0.10862715734399021,0.22906910088041868,0.500195242571913,0.09920158599535839,0.019550186122758915
AZ-03,High-density suburban,D,0.17642380117654483,0.25788582073119337,0.44755093847972094,0.11813943961254085,"Grijalva, Raul",0.624,0.325,0.614,0.369,0.5820000000000001,0.40700000000000003,0,0.986347535339491,0.013652464660509152,-13,Solid D,-3,0,0.9999,0,0.04493874479731508,0.12475086630255866,0.35082373353008445,0.3979954888801264,0.06546126082406578,0.016029905665849754
AZ-04,Rural-suburban,R,0.36626240068526106,0.3973736474988963,0.1986312757520031,0.03773267606383949,"Gosar, Paul",0.275,0.677,0.31,0.672,0.344,0.642,0.714533522015008,0.285466477984992,0,21,Solid R,3,0,5e-4,0,0.014920476556826896,0.9666966998107476,0.01120801431040688,0.0038212252653205,0.002360075955250867,9.935081014472936e-4
AZ-05,High-density suburban,R,0.003618717581894053,0.2309788473786001,0.6766813947992891,0.08872104024021664,"Biggs, Andy",0.365,0.5760000000000001,0.34600000000000003,0.638,0.363,0.626,0.640951631242893,0.359048368757107,0,15,Solid R,3,0,0.0019,0,0.0405625445448302,0.07564239560508258,0.18765419839599481,0.5785414231611584,0.0917240831700054,0.025875355122928604
AZ-06,High-density suburban,R,0.040134928174846866,0.22792291808252726,0.42978417985319034,0.3021579738894355,"Schweikert, David",0.424,0.524,0.38799999999999996,0.595,0.41200000000000003,0.5770000000000001,0.621302905894392,0.378697094105608,0,9,Likely R,2,1,0.1752,0,0.018928484674174927,0.03866801132643415,0.09585262080395376,0.6771678836272202,0.15166849360662218,0.01771450596159483
AZ-07,Urban-suburban,D,7.594893458473533e-4,0.12945532921386257,0.43511502855470124,0.4346701528855889,"Gallego, Ruben",0.718,0.226,0.7170000000000001,0.265,0.647,0.341,0.247375811499203,0.752246380918198,3.77807582598183e-4,-23,Solid D,-3,0,1,0,0.015562525769279292,0.02579811907821246,0.04442385066673665,0.17081274330617505,0.714638115893286,0.0287646452863106
AZ-08,High-density suburban,R,0.05286511578237633,0.1982113273028944,0.6156638930987448,0.13325966381598447,"Lesko, Debbie",0.37,0.581,0.369,0.617,0.384,0.606,0.68549123493583,0,0.31450876506417014,13,Solid R,3,0,0.2446,0,0.024140912002481002,0.0466948184567471,0.11507001630268054,0.7368356967849539,0.062169562421256507,0.015088994031880857
AZ-09,Urban-suburban,D,9.261250409318039e-5,0.05730105900572427,0.42889308372563406,0.5137132447645484,"Sinema, Kyrsten",0.547,0.384,0.511,0.466,0.513,0.474,0.390440601498341,0.609191840205833,3.6755829582677197e-4,-4,Solid D,-3,0,0.9935,0,0.012906187630215891,0.019361285295648022,0.02872913772463748,0.08301617819232059,0.8202420785065314,0.035745132650646695
CA-01,Rural-suburban,R,0.4311041331775124,0.3673057610826544,0.17045015864067528,0.031139947099157912,"LaMalfa, Doug",0.365,0.562,0.40299999999999997,0.5660000000000001,0.42,0.53,0.590531021921054,0.409468978078946,0,11,Solid R,3,0,0.1629,0,0.15433812856915577,0.7759037778253614,0.03752340347177072,0.016317724922472375,0.010961628246108463,0.004955336965131469
CA-02,Rural-suburban,D,0.2897269869477606,0.31505701657881524,0.33272532624493156,0.0624906702284925,"Huffman, Jared",0.69,0.233,0.69,0.27,0.71,0.25,0.231499005339122,0.768500994660878,0,-22,Solid D,-3,0,1,0,0.07983615930187958,0.5090872993716654,0.2719384562408382,0.0897544079693808,0.03720806176019468,0.012175615356041473
CA-03,Rural-suburban,D,0.25009486576413553,0.258825396038173,0.25874687850121775,0.23233285969647377,"Garamendi, John",0.53,0.40399999999999997,0.5429999999999999,0.431,0.55,0.42,0.406485682930816,0.593514317069184,0,-5,Solid D,-3,0,0.9991,0,0.10563512531289752,0.2999739714774641,0.25032473703307984,0.18282526479661826,0.12836487232796148,0.03287602905197877
CA-04,Rural-suburban,R,0.4080583136761747,0.34976804666288247,0.19996404331685813,0.04220959634408468,"McClintock, Tom",0.39299999999999996,0.54,0.395,0.579,0.43,0.54,0.627198855768738,0.372801144231262,0,10,Likely R,2,1,0.1521,0,0.055306560384203736,0.9065881834351687,0.021082438673814777,0.008911073138257581,0.005687387707745921,0.002424356660809183
CA-05,High-density suburban,D,0.12909120779993294,0.23571619455696585,0.38545959471786856,0.24973300292523273,"Thompson, Mike",0.6920000000000001,0.243,0.6970000000000001,0.275,0.7,0.26,0.231314898439185,0.768685101560815,0,-21,Solid D,-3,0,0.9997,0,0.036212871156924474,0.08555969474633446,0.19699343436532676,0.5235199182146199,0.13603830495098942,0.021675776565804987
CA-06,Urban-suburban,D,0.01010708576800076,0.06717702522243742,0.39000816472285893,0.5327077242867029,"Matsui, Doris",0.6920000000000001,0.244,0.691,0.28300000000000003,0.68,0.29,0.245729844995816,0.754270155004184,0,-21,Solid D,-3,0,1,0,0.007175321576301893,0.01067731901921802,0.015352746908572714,0.03960054670188289,0.9046282147577515,0.02256585103627296
CA-07,High-density suburban,D,0.050511193646326585,0.09105701714942042,0.5507976358955516,0.30763415330870125,"Bera, Ami",0.523,0.409,0.508,0.46799999999999997,0.51,0.46,0.488286282252667,0.511713717747334,0,-3,Likely D,-2,1,0.9904,0,0.02416467654751427,0.04106774011196338,0.07414349629912195,0.6593340307775379,0.17575324704790862,0.02553680921595385
CA-08,Rural-suburban,R,0.2672382834252132,0.4780022598943361,0.23473823725683612,0.020021219423614615,"Cook, Paul",0.396,0.547,0.41700000000000004,0.556,0.42,0.55,0.622580190630298,0.377419809369702,0,9,Solid R,3,0,0,0,0.0790879455201236,0.567973087507703,0.26310014644179075,0.050841749937165996,0.027775623755046674,0.011221446838169913
CA-09,High-density suburban,D,0.0909375146643872,0.23653001227666196,0.44962172208758766,0.22291075097136318,"McNerney, Jerry",0.5660000000000001,0.38,0.578,0.401,0.56,0.41,0.426404772673429,0.573595227326571,0,-8,Solid D,-3,0,0.9985,0,0.012844955604978763,0.029210162686351158,0.08473268348103807,0.8170814457056027,0.048010601907257706,0.008120150614771397
CA-10,High-density suburban,R,0.11332464457997674,0.20045870999869303,0.4607116053039094,0.22550504011742079,"Denham, Jeff",0.485,0.455,0.506,0.47,0.5,0.47,0.51700457408736,0.48299542591264,0,0,Tossup,0,1,0.6973,1,0.013882038716695995,0.030075475483725838,0.07097701305492202,0.8241964891574334,0.05218402484037692,0.00868495874684573
CA-11,Urban-suburban,D,0.022609345350018312,0.2404188523265157,0.3332923525993465,0.4036794497241196,"DeSaulnier, Mark",0.715,0.22699999999999998,0.6759999999999999,0.3,0.69,0.28,0.279471779859092,0.720528220140908,0,-21,Solid D,-3,0,1,0,0.02741353499432718,0.05113355990758487,0.09731905714869885,0.21513505590883222,0.5690406303423389,0.03995816169821794
CA-12,Pure urban,D,4.7131386131311166e-4,0.011569472349196067,0.01553985272816612,0.9724193610613246,"Pelosi, Nancy",0.862,0.087,0.841,0.125,0.84,0.13,0,0.808732606353938,0.191267393646062,-37,Solid D,-3,0,1,0,0.006622593169615909,0.007589695485287806,0.00811644508074526,0.010503109453231744,0.026562888668881995,0.9406052681422372
CA-13,Pure urban,D,0.0021369375272242796,0.04582269953316966,0.10642343442170311,0.8456169285179028,"Lee, Barbara",0.8740000000000001,0.068,0.875,0.09,0.87,0.1,0.0921544517779547,0.907845548222045,0,-40,Solid D,-3,0,1,0,0.0038333115845128585,0.004644963054561912,0.005190900071052729,0.007205433827876043,0.02372275211379664,0.9554026393481999
CA-14,Urban-suburban,D,0.023704436767637414,0.09624249632343608,0.2159872102665581,0.6640658566423684,"Speier, Jackie",0.769,0.182,0.742,0.23600000000000002,0.73,0.24,0,0.808631265120598,0.191368734879402,-27,Solid D,-3,0,1,0,0.02813607925425397,0.03804406817505,0.04649207197958096,0.07503026874017633,0.5361685967961087,0.27612891505483
CA-15,Urban-suburban,D,0.05213472048832941,0.14741503937347877,0.2868997221868143,0.5135505179513775,"Swalwell, Eric",0.6990000000000001,0.242,0.68,0.298,0.67,0.3,0.262332046791012,0.737667953208988,0,-20,Solid D,-3,0,1,0,0.0073652963896819286,0.011450326453748086,0.01586097729274584,0.03111460922662146,0.9136402003070861,0.020568590330116637
CA-16,High-density suburban,D,0.16602181044518738,0.2364003169150327,0.36647254202845003,0.23110533061132987,"Costa, Jim",0.58,0.364,0.586,0.39399999999999996,0.57,0.4,0.419651575412608,0.580348424587392,0,-9,Solid D,-3,0,0.9817,0,0.050138099293204126,0.12662307372384496,0.25003633550103593,0.4142747721951692,0.13438271132230176,0.02454500796444402
CA-17,Pure urban,D,0.008294134498195016,0.06444121069632813,0.1610980867395962,0.7661665680658807,"Khanna, Ro",0.7390000000000001,0.205,0.7190000000000001,0.255,0.69,0.28,0,1,0,-25,Solid D,-3,0,1,0,0.019584876669499048,0.024770970543150264,0.02868768171916264,0.04236190336754091,0.1803640530649005,0.7042305146357467
CA-18,Urban-suburban,D,0.043208435570510774,0.15193120404228008,0.2505482490690574,0.5543121113181517,"Eshoo, Anna",0.7340000000000001,0.20199999999999999,0.682,0.289,0.7,0.27,0.28854999536937,0.71145000463063,0,-23,Solid D,-3,0,1,0,0.015869331932219004,0.023759851994123036,0.031491728245661536,0.05472926116244855,0.8147717632355125,0.0593780634300354
CA-19,Urban-suburban,D,0.02407847170493209,0.10306818664638909,0.1991406173348411,0.6737127243138377,"Lofgren, Zoe",0.7290000000000001,0.215,0.7120000000000001,0.265,0.68,0.29,0.260555675315114,0.739444324684886,0,-24,Solid D,-3,0,1,0,0.029658206977161948,0.03982846383798127,0.048156199199363224,0.0752861186792441,0.48310169588290597,0.32396931542334334
CA-20,Urban-suburban,D,0.20174811478617533,0.1710493173231757,0.23857978334090396,0.388622784549745,"Panetta, Jimmy",0.7040000000000001,0.23199999999999998,0.7090000000000001,0.262,0.71,0.26,0.292469242467483,0.707530757532517,0,-23,Solid D,-3,0,0.9993,0,0.07494469333349026,0.12638155915387364,0.13295345824790925,0.18908489644105286,0.4077478352856586,0.06888755753801543
CA-21,Rural-suburban,R,0.33002771981753537,0.3045609544011867,0.27654095116535976,0.0888703746159181,"Valadao, David",0.552,0.397,0.546,0.435,0.52,0.46,0.567382635490303,0.432617364509697,0,-5,Likely R,2,1,0.2057,0,0.08160952745702019,0.7070652847106441,0.12416797707065767,0.05101698075779934,0.026841252861475352,0.009298977142403256
CA-22,High-density suburban,R,0.14205943404812035,0.21039611371911376,0.5025085431352205,0.14503590909754538,"Nunes, Devin",0.426,0.521,0.41600000000000004,0.5660000000000001,0.42,0.55,0.675650945243142,0.324349054756858,0,8,Solid R,3,0,0.0296,0,0.02668283975856842,0.06040987092757251,0.14914423936886542,0.6944299288610767,0.05675387033201998,0.012579250751896793
CA-23,High-density suburban,R,0.20015224275832033,0.22696336650705692,0.45071697102985364,0.12216741970476906,"McCarthy, Kevin",0.361,0.581,0.361,0.615,0.36,0.61,0.69175110934499,0.30824889065501,0,14,Solid R,3,0,8e-4,0,0.05423083097259652,0.14176245776624216,0.28953731893753454,0.4193077442976339,0.07644569316353544,0.01871595486245749
CA-24,Low-density suburban,D,0.17621341772482044,0.27746398072189815,0.2932103198417158,0.2531122817115657,"Carbajal, Salud",0.5670000000000001,0.365,0.541,0.431,0.56,0.41,0.465809133436718,0.534190866563282,0,-7,Solid D,-3,0,0.9796,0,0.06850516651356577,0.18569976434285437,0.3020210873182689,0.25599888928170966,0.155876714165687,0.031898378377914385
CA-25,High-density suburban,R,0.12237368913921207,0.2181906401770612,0.4892692890931322,0.17016638159059452,"Knight, Steve",0.503,0.436,0.479,0.49700000000000005,0.49,0.48,0.531300615329241,0.468699384670759,0,0,Tossup,0,1,0.691,1,0.01723715814046458,0.03915889285317954,0.10488051649460814,0.7857585353260084,0.04398600712047092,0.008978890065268572
CA-26,High-density suburban,D,0.10699207980574965,0.23494800388896106,0.32714599249018533,0.3309139238151039,"Brownley, Julia",0.579,0.36,0.54,0.43700000000000006,0.56,0.41,0.396204875368792,0.603795124631208,0,-7,Solid D,-3,0,0.9996,0,0.04363648411522531,0.09142518817148519,0.16828112272206236,0.33291797977178056,0.32596247884192636,0.03777674637752031
CA-27,Urban-suburban,D,0.0012987608430483403,0.04627385790013352,0.3173938980033673,0.6350334832534509,"Chu, Judy",0.66,0.284,0.626,0.35,0.61,0.35,0.325796386734336,0.674203613265664,0,-16,Solid D,-3,0,1,0,0.019820588712728435,0.027345700627054083,0.035560235047556135,0.06973149025606627,0.7175250894073725,0.1300168959492226
CA-28,Pure urban,D,7.554918242003088e-4,0.07884417071179028,0.1355795754042573,0.7848207620597522,"Schiff, Adam",0.721,0.223,0.703,0.265,0.7,0.26,0.220133205625552,0.779866794374448,0,-23,Solid D,-3,0,1,0,0.01585907505884107,0.019923614004379437,0.022917986831004558,0.032670481115057264,0.12726855030647088,0.7813602926842468
CA-29,Pure urban,D,2.0589138055559044e-4,0.025957619076083144,0.1933435916458098,0.7804928978975514,"Cardenas, Tony",0.777,0.168,0.77,0.205,0.74,0.23,0,1,0,-29,Solid D,-3,0,1,0,0.018969701382757567,0.02381441371556626,0.02774436325988678,0.04266773149734993,0.17954498703803987,0.7072588031063995
CA-30,Urban-suburban,D,0.007387578362819949,0.06446325991652377,0.24945073559796382,0.6786984261226925,"Sherman, Brad",0.691,0.257,0.653,0.321,0.66,0.31,0.273616084698023,0.726383915301977,0,-18,Solid D,-3,0,1,0,0.026383453744976408,0.035387609902173336,0.04383556842222485,0.074765521789548,0.5381231635351501,0.28150468260592726
CA-31,High-density suburban,D,0.00796308381810921,0.1639446410902472,0.556035078822492,0.2720571962691515,"Aguilar, Pete",0.5770000000000001,0.366,0.5720000000000001,0.406,0.56,0.41,0.439324614700652,0.560675385299348,0,-8,Solid D,-3,0,0.9978,0,0.010982818333228048,0.020122437691130757,0.04502748806530104,0.8467438000718434,0.06649516974585112,0.010628286092645586
CA-32,Urban-suburban,D,0.0019790191886099938,0.06786804916348951,0.30934159070372896,0.6208113409441715,"Napolitano, Grace",0.6659999999999999,0.27699999999999997,0.652,0.325,0.62,0.35,0,1,0,-17,Solid D,-3,0,1,0,0.01661741891470004,0.023301446706488753,0.030700004257745092,0.06001166451707343,0.7689851538798956,0.10038431172409706
CA-33,Urban-suburban,D,0.027981687727045526,0.13909620622248428,0.16753416190687578,0.6653879441435944,"Lieu, Ted",0.6779999999999999,0.265,0.606,0.368,0.64,0.33,0.335601525048528,0.664398474951472,0,-16,Solid D,-3,0,1,0,0.033645472451150515,0.04556111639999849,0.054696336299064535,0.08015154405495621,0.4556986362323859,0.3302468945624442
CA-34,Pure urban,D,2.0829788710830254e-4,0.015395991162465001,0.08629064779300064,0.898105063157426,"Gomez, Jimmy",0.836,0.107,0.83,0.141,0.77,0.19,0,1,0,-35,Solid D,-3,0,0.9998,0,4.48741994605801e-5,5.3039304837253494e-5,5.827483273618837e-5,7.96046202605903e-5,2.3408843487787828e-4,0.9995301186078275
CA-35,Urban-suburban,D,0.0017558396054338878,0.12211742717345757,0.4766386247206003,0.3994881085005083,"Torres, Norma",0.677,0.26899999999999996,0.674,0.306,0.64,0.32,0.276090876728158,0.723909123271842,0,-19,Solid D,-3,0,1,0,0.022300862182494392,0.037473698664111245,0.06742215892783471,0.3457330261413475,0.4920099519148185,0.03506030216939367
CA-36,High-density suburban,D,0.13041455308699326,0.26657134956056994,0.5023149626398375,0.1006991347125993,"Ruiz, Raul",0.522,0.434,0.507,0.475,0.5,0.47,0.379460658507332,0.620539341492668,0,-2,Solid D,-3,0,0.9967,0,0.03406472812592243,0.08479221193266587,0.29588459158035024,0.5139267028465708,0.05710066099470988,0.014231104519780617
CA-37,Pure urban,D,0,0.0056209142745508554,0.026467887523426624,0.9679111982020224,"Bass, Karen",0.857,0.096,0.8490000000000001,0.127,0.84,0.13,0,1,0,-37,Solid D,-3,0,1,0,0.005442095016994261,0.006249421811582559,0.006701521481775892,0.008743901048917757,0.022379024247671398,0.9504840363930581
CA-38,Pure urban,D,0,0.07848729416986802,0.19118640108650237,0.7303263047436296,"Sanchez, Linda",0.67,0.27399999999999997,0.649,0.33,0.61,0.35,0.295217005436984,0.704782994563016,0,-17,Solid D,-3,0,1,0,0.025833696523359415,0.03362900075235938,0.04020594802538794,0.06178574813812423,0.3120965865081371,0.526449020052632
CA-39,High-density suburban,R,0.0022161305004076218,0.16261360905208272,0.4939068086421127,0.34126345180539686,"Royce, Ed",0.515,0.429,0.47100000000000003,0.508,0.47,0.49,0.572304293696101,0.427695706303899,0,0,Tossup,0,1,0.3507,1,0.019145560805211095,0.03442371243515421,0.07148686784673783,0.6262929558792385,0.22523137111985547,0.023419531913802756
CA-40,Pure urban,D,1.6893464382356066e-4,0.012109798384752238,0.10277912636896154,0.8849421406024627,"Roybal-Allard, Lucille",0.8220000000000001,0.128,0.815,0.165,0.77,0.19,0,0.713704896950374,0.286295103049626,-33,Solid D,-3,0,0.9995,0,6.500921103522369e-4,7.72969643878385e-4,8.545631755864136e-4,0.0011851813681879892,0.0036060613049439427,0.9929311323970511
CA-41,High-density suburban,D,0.03518060834056208,0.2700072648436596,0.4618896318077978,0.2329224950079805,"Takano, Mark",0.61,0.331,0.615,0.363,0.59,0.38,0.350486258570972,0.649513741429028,0,-12,Solid D,-3,0,0.9996,0,0.011449051919198807,0.025416718646410024,0.08795840282583907,0.8176533412562829,0.04913779669561155,0.008384688656657636
CA-42,Low-density suburban,R,0.07934255301222402,0.41986947662949997,0.40180070499896736,0.09898726535930864,"Calvert, Ken",0.414,0.534,0.414,0.565,0.43,0.54,0.588221180320647,0.411778819679353,0,9,Solid R,3,0,0.0251,0,0.00782072677152195,0.023844155976458708,0.9148010011523249,0.03940443497956727,0.01096887281678919,0.003160808303338048
CA-43,Pure urban,D,0,0,0.10568029631071132,0.8943197036892886,"Waters, Maxine",0.784,0.16699999999999998,0.78,0.2,0.75,0.22,0.239157965706372,0.760842034293628,0,-29,Solid D,-3,0,1,0,8.350311282379283e-4,9.884927063938476e-4,0.001090716607740656,0.001517434064560015,0.004541830622418536,0.991026494870649
CA-44,Pure urban,D,0.0015579083523016414,0.015924207348392845,0.18333698344514887,0.7991809008541566,"Barragan, Nanette",0.83,0.12300000000000001,0.847,0.136,0.81,0.16,0,1.0000000000000009,0,-35,Solid D,-3,0,1,0,0.015500860688321766,0.019229763187679015,0.022158828453870568,0.03359931812176701,0.13196374832598357,0.777547481222378
CA-45,Urban-suburban,R,0.010380389617644701,0.1503260116611806,0.4364717097199496,0.4028218890012251,"Walters, Mimi",0.498,0.444,0.43,0.5479999999999999,0.46,0.51,0.585597516746887,0.414402483253113,0,3,Tossup,0,1,0.6973,1,0.019474025263639574,0.033615362764880176,0.061437207288971035,0.27573393169435556,0.5792354646178474,0.030504008370306278
CA-46,Pure urban,D,3.450048587448263e-5,0.019009947119366474,0.13988745163176783,0.8410681007629912,"Correa, Lou",0.6629999999999999,0.27899999999999997,0.614,0.36200000000000004,0.58,0.39,0,1,0,-15,Solid D,-3,0,1,0,0.00589539131046779,0.007161795953956494,0.008075034003329517,0.01162419460160447,0.039742741537248036,0.9275008425933937
CA-47,Pure urban,D,0.004012673557845647,0.012601692480689111,0.1201307638227504,0.8632548701387149,"Lowenthal, Alan",0.626,0.31,0.6,0.375,0.58,0.39,0.362785546057941,0.637214453942059,0,-13,Solid D,-3,0,0.9999,0,0.0025237209127418193,0.0030257893086656183,0.0033669024156306854,0.004751371994900379,0.015237909407278611,0.9710943059607829
CA-48,Urban-suburban,R,6.437980606304588e-4,0.0497424285535017,0.29776385060516247,0.6518499227807054,"Rohrabacher, Dana",0.479,0.462,0.43,0.547,0.46,0.51,0.583197352618662,0.416802647381338,0,4,Tossup,0,1,0.6384,1,0.022358365923826957,0.03053822490849055,0.0391225234871652,0.07327776708468524,0.6623748809110135,0.1723282376848186
CA-49,High-density suburban,R,0.05759018481239375,0.18067328278919512,0.5005272870826497,0.26120924531576145,"Issa, Darrell",0.507,0.43200000000000005,0.457,0.522,0.49,0.48,0.50261320952427,0.49738679047573,0,1,Lean D,-1,0,0.9166,1,0.004541830282104832,0.008900885427340115,0.020565260097057992,0.9364581467119404,0.025763356500498612,0.0037705209810579817
CA-50,High-density suburban,R,0.13016506189821184,0.23275051236910752,0.40555250836911455,0.23153191736356615,"Hunter, Duncan",0.396,0.546,0.376,0.604,0.39,0.58,0.634512647090975,0.365487352909025,0,11,Lean R,1,0,0.1061,0,0.03135221662294418,0.07465871499803187,0.18200135043753085,0.5884420491704716,0.10572714173215375,0.017818527038867736
CA-51,Urban-suburban,D,0.12593050597609148,0.09982708500534496,0.24458481372864618,0.5296575952899174,"Vargas, Juan",0.718,0.228,0.6940000000000001,0.289,0.65,0.32,0.272458451113651,0.727541548886349,0,-22,Solid D,-3,0,1,0,0.028258362459772937,0.040443608626054416,0.04717800531726921,0.08218346493885192,0.7206158359476948,0.08132072271035662
CA-52,Urban-suburban,D,0.02828815459376173,0.13189206658989602,0.4255846239553198,0.41423515486102247,"Peters, Scott",0.581,0.35600000000000004,0.521,0.457,0.55,0.43,0.434743151539344,0.565256848460656,0,-6,Solid D,-3,0,0.9988,0,0.01730216803210331,0.029243524254137735,0.05012941215833409,0.20480673567259808,0.6703415421000092,0.028176617782817513
CA-53,Urban-suburban,D,0.005056965841406833,0.07525047045447969,0.34016013883222995,0.5795324248718835,"Davis, Susan",0.645,0.29600000000000004,0.614,0.364,0.61,0.36,0.329907461037999,0.670092538962001,0,-14,Solid D,-3,0,0.9999,0,0.008882985507639947,0.012854301426266567,0.017643906925854828,0.038153128415438976,0.8835069519321676,0.03895872579263212
CO-01,Urban-suburban,D,0.0060373181999167904,0.04931921029886717,0.29240785266281505,0.652235618838401,"DeGette, Diana",0.69,0.23199999999999998,0.69,0.28800000000000003,0.7090000000000001,0.276,0.277097689929189,0.678705980434576,0.0441963296362351,-21,Solid D,-3,0,1,0,0.022715000622274273,0.030943895112201445,0.039366497541328586,0.0731259936305197,0.6562837778693705,0.17756483522430538
CO-02,Low-density suburban,D,0.24306093067681003,0.25580242094047606,0.3570526606233826,0.1440839877593313,"Polis, Jared",0.562,0.349,0.579,0.395,0.612,0.37200000000000005,0.371739643831782,0.568922311244839,0.0593380449233784,-9,Solid D,-3,0,0.9991,0,0.07825690290405317,0.26651474547323784,0.33247878651067064,0.22337710918673934,0.07886934598342069,0.020503109941878518
