"msa","msa_name","percent_change_2014_2019","location_quotient_2018","median_annual_earnings"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",-0.113794304216444,0.329599,69072.818937
35300,"New Haven-Milford, CT",0.000229394073022,0.780163,84205.3451246
35380,"New Orleans-Metairie, LA",-0.027500320523314,1.229896,77493.8120146
35620,"New York-Newark-Jersey City, NY-NJ-PA",0.122600040340043,0.533682,78332.3900847
35840,"North Port-Sarasota-Bradenton, FL",0.177660230587998,1.815297,69007.7245942
36260,"Ogden-Clearfield, UT",0.141406426116469,0.663209,54738.1932414
36420,"Oklahoma City, OK",0.069981672115281,0.606457,65825.6402575
36540,"Omaha-Council Bluffs, NE-IA",0.047698527806884,0.933493,65824.5684713
36740,"Orlando-Kissimmee-Sanford, FL",0.171742177662143,0.722313,68102.4292281
37100,"Oxnard-Thousand Oaks-Ventura, CA",0.107806009601312,1.715917,88004.8
37340,"Palm Bay-Melbourne-Titusville, FL",0.131752985959119,1.112499,66164.8
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.037767184996811,0.751879,78139.4458575
38060,"Phoenix-Mesa-Chandler, AZ",0.096853648710916,0.852055,73162.7521483
38300,"Pittsburgh, PA",-0.000380404689188,0.892018,66184.7524005
38900,"Portland-Vancouver-Hillsboro, OR-WA",0.171959565365709,1.776751,88153.075813
39100,"Poughkeepsie-Newburgh-Middletown, NY",-0.013626283801908,0.497353,67259.9065794
39300,"Providence-Warwick, RI-MA",0.065848135827843,1.340723,74729.4403664
39340,"Provo-Orem, UT",0.225575693111481,0.871169,72650.7343993
39580,"Raleigh-Cary, NC",0.091145853781284,1.514095,67620.0884124
40060,"Richmond, VA",0.072495293614221,0.923281,63773.4719741
40140,"Riverside-San Bernardino-Ontario, CA",0.205808081794114,1.626996,90381.085764
40380,"Rochester, NY",0.052017170525261,0.748673,58721.4331074
40900,"Sacramento-Roseville-Folsom, CA",0.049500608610007,2.77996,81122.8925238
41180,"St. Louis, MO-IL",-0.018520472664887,0.301671,69914.1729727
41620,"Salt Lake City, UT",0.122725434812198,0.756271,68185.0918672
41700,"San Antonio-New Braunfels, TX",0.120250666779064,0.650568,72169.4386225
41740,"San Diego-Chula Vista-Carlsbad, CA",0.131071151459212,1.791444,87609.6
41860,"San Francisco-Oakland-Berkeley, CA",0.140061751192759,2.401495,99788.5953301
41940,"San Jose-Sunnyvale-Santa Clara, CA",0.204473889602793,1.316495,110388.775577
42660,"Seattle-Tacoma-Bellevue, WA",0.180043717641754,2.124375,86825.9952833
44060,"Spokane-Spokane Valley, WA",0.1910928116602,1.060522,73994.3070142
44140,"Springfield, MA",0.055083247572481,1.431928,72371.52
44700,"Stockton, CA",0.301262363485829,1.376147,66851.2
45060,"Syracuse, NY",0.046859022656486,0.390894,64643.2778803
45300,"Tampa-St. Petersburg-Clearwater, FL",0.084041446875132,1.309005,75433.4214565
45780,"Toledo, OH",0.020893252164954,0.635411,59243.3898471
46060,"Tucson, AZ",0.082240846083115,1.156029,66019.2
46140,"Tulsa, OK",0.089127416008133,0.293418,63297.4110963
46520,"Urban Honolulu, HI",0.027248546575681,2.77624,74276.8
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",0.057738378754177,1.42872,69787.0980771
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.02103139141546,1.539516,88943.4721853
48620,"Wichita, KS",0.049591092362565,0.41425,70823.0683177
49180,"Winston-Salem, NC",0.092667447926351,0.578632,58421.9981131
49340,"Worcester, MA-CT",0.085272044243925,1.161808,72195.6062422
